|dates|HotSpring_Arkansas_UnitedStates.BLS_EmployedPopulation.data|HotSpring_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|HotSpring_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|HotSpring_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|HotSpring_Arkansas_UnitedStates.BLS_UnemploymentRate.data|HotSpring_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|HotSpring_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|HotSpring_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-02|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-03|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-04|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-05|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-06|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-07|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-08|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-09|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-10|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-11|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-12|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-13|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-14|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-15|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-16|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-17|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-18|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-19|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-20|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-21|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-22|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-23|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-24|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-25|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-26|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-27|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-28|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-29|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-30|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-01-31|13449.0|0|550.5|0|3.932283295831994|0|13999.5|0
0|2020-02-01|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-02|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-03|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-04|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-05|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-06|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-07|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-08|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-09|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-10|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-11|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-12|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-13|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-14|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-15|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-16|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-17|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-18|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
0|2020-02-19|13594.5|0|538.0|0|3.806828232796745|0|14132.5|0
