|dates|Butler_Alabama_UnitedStates.BLS_EmployedPopulation.data|Butler_Alabama_UnitedStates.BLS_EmployedPopulation.missing|Butler_Alabama_UnitedStates.BLS_UnemployedPopulation.data|Butler_Alabama_UnitedStates.BLS_UnemployedPopulation.missing|Butler_Alabama_UnitedStates.BLS_UnemploymentRate.data|Butler_Alabama_UnitedStates.BLS_UnemploymentRate.missing|Butler_Alabama_UnitedStates.BLS_LaborForcePopulation.data|Butler_Alabama_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-02|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-03|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-04|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-05|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-06|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-07|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-08|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-09|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-10|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-11|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-12|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-13|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-14|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-15|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-16|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-17|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-18|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-19|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-20|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-21|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-22|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-23|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-24|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-25|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-26|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-27|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-28|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-29|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-30|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-01-31|8722.0|0|375.0|0|4.122238100472683|0|9097.0|0
0|2020-02-01|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
0|2020-02-02|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
0|2020-02-03|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
0|2020-02-04|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
0|2020-02-05|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
0|2020-02-06|8813.0|0|372.5|0|4.055304556093843|0|9185.5|0
