|dates|Sanders_Montana_UnitedStates.BLS_EmployedPopulation.data|Sanders_Montana_UnitedStates.BLS_EmployedPopulation.missing|Sanders_Montana_UnitedStates.BLS_UnemployedPopulation.data|Sanders_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Sanders_Montana_UnitedStates.BLS_UnemploymentRate.data|Sanders_Montana_UnitedStates.BLS_UnemploymentRate.missing|Sanders_Montana_UnitedStates.BLS_LaborForcePopulation.data|Sanders_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-02|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-03|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-04|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-05|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-06|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-07|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-08|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-09|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-10|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-11|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-12|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-13|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-14|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-15|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-16|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-17|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-18|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-19|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-20|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-21|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-22|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-23|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-24|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-25|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-26|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-27|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-28|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-29|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-30|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-01-31|4485.5|0|416.5|0|8.496532027743777|0|4902.0|0
0|2020-02-01|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-02|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-03|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-04|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-05|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-06|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-07|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-08|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-09|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-10|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-11|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-12|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-13|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-14|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-15|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-16|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-17|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-18|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-19|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-20|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-21|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-22|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-23|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-24|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-25|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-26|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-27|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-28|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-02-29|4527.0|0|387.0|0|7.875457875457876|0|4914.0|0
0|2020-03-01|4592.5|0|389.5|0|7.818145323163388|0|4982.0|0
