|dates|Cache_Utah_UnitedStates.BLS_EmployedPopulation.data|Cache_Utah_UnitedStates.BLS_EmployedPopulation.missing|Cache_Utah_UnitedStates.BLS_UnemployedPopulation.data|Cache_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Cache_Utah_UnitedStates.BLS_UnemploymentRate.data|Cache_Utah_UnitedStates.BLS_UnemploymentRate.missing|Cache_Utah_UnitedStates.BLS_LaborForcePopulation.data|Cache_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-02|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-03|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-04|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-05|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-06|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-07|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-08|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-09|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-10|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-11|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-12|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-13|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-14|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-15|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-16|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-17|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-18|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-19|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-20|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-21|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-22|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-23|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-24|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-25|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-26|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-27|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-28|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-29|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-30|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-01-31|64028.5|0|1421.0|0|2.1711395808982497|0|65449.5|0
0|2020-02-01|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-02|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-03|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-04|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-05|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-06|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-07|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-08|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-09|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-10|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-11|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-12|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-13|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
0|2020-02-14|63994.5|0|1432.0|0|2.188715581606841|0|65426.5|0
