|dates|Okanogan_Washington_UnitedStates.BLS_EmployedPopulation.data|Okanogan_Washington_UnitedStates.BLS_EmployedPopulation.missing|Okanogan_Washington_UnitedStates.BLS_UnemployedPopulation.data|Okanogan_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Okanogan_Washington_UnitedStates.BLS_UnemploymentRate.data|Okanogan_Washington_UnitedStates.BLS_UnemploymentRate.missing|Okanogan_Washington_UnitedStates.BLS_LaborForcePopulation.data|Okanogan_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-02|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-03|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-04|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-05|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-06|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-07|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-08|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-09|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-10|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-11|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-12|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-13|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-14|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-15|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-16|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-17|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-18|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-19|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-20|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-21|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-22|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-23|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-24|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-25|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-26|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-27|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-28|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-29|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-30|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-01-31|17091.0|0|1777.5|0|9.420462675888386|0|18868.5|0
0|2020-02-01|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-02|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-03|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-04|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-05|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-06|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-07|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-08|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-09|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
0|2020-02-10|17275.0|0|1727.0|0|9.088516998210714|0|19002.0|0
