|dates|McLennan_Texas_UnitedStates.BLS_EmployedPopulation.data|McLennan_Texas_UnitedStates.BLS_EmployedPopulation.missing|McLennan_Texas_UnitedStates.BLS_UnemployedPopulation.data|McLennan_Texas_UnitedStates.BLS_UnemployedPopulation.missing|McLennan_Texas_UnitedStates.BLS_UnemploymentRate.data|McLennan_Texas_UnitedStates.BLS_UnemploymentRate.missing|McLennan_Texas_UnitedStates.BLS_LaborForcePopulation.data|McLennan_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-02|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-03|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-04|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-05|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-06|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-07|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-08|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-09|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-10|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-11|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-12|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-13|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-14|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-15|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-16|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-17|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-18|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-19|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-20|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-21|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-22|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-23|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-24|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-25|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-26|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-27|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-28|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-29|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-30|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-01-31|115895.0|0|4097.0|0|3.4143942929528635|0|119992.0|0
0|2020-02-01|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-02|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-03|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-04|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-05|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-06|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-07|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-08|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-09|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-10|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-11|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-12|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-13|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-14|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-15|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-16|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-17|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-18|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-19|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-20|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-21|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-22|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-23|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-24|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
0|2020-02-25|116907.0|0|3901.5|0|3.229491302350414|0|120808.5|0
