|dates|Bledsoe_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Bledsoe_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Bledsoe_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Bledsoe_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Bledsoe_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Bledsoe_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Bledsoe_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Bledsoe_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-02|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-03|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-04|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-05|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-06|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-07|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-08|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-09|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-10|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-11|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-12|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-13|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-14|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-15|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-16|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-17|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-18|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-19|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-20|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-21|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-22|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-23|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-24|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-25|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-26|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-27|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-28|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-29|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-30|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-01-31|4149.5|0|265.5|0|6.013590033975085|0|4415.0|0
0|2020-02-01|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-02|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-03|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-04|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-05|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-06|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-07|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-08|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-09|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-10|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-11|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-12|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-13|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-14|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-15|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-16|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-17|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-18|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-19|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
0|2020-02-20|4177.0|0|263.5|0|5.9340164395901365|0|4440.5|0
