|dates|Susquehanna_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Susquehanna_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Susquehanna_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Susquehanna_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Susquehanna_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Susquehanna_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Susquehanna_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Susquehanna_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-02|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-03|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-04|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-05|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-06|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-07|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-08|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-09|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-10|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-11|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-12|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-13|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-14|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-15|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-16|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
0|2020-01-17|19209.0|0|1201.0|0|5.8843704066634|0|20410.0|0
