|dates|Goliad_Texas_UnitedStates.BLS_EmployedPopulation.data|Goliad_Texas_UnitedStates.BLS_EmployedPopulation.missing|Goliad_Texas_UnitedStates.BLS_UnemployedPopulation.data|Goliad_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Goliad_Texas_UnitedStates.BLS_UnemploymentRate.data|Goliad_Texas_UnitedStates.BLS_UnemploymentRate.missing|Goliad_Texas_UnitedStates.BLS_LaborForcePopulation.data|Goliad_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-02|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-03|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-04|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-05|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-06|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-07|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-08|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-09|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-10|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-11|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-12|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-13|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-14|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-15|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-16|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-17|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-18|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-19|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-20|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-21|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-22|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-23|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-24|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-25|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-26|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-27|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-28|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-29|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-30|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-01-31|3123.0|0|128.0|0|3.9372500768994154|0|3251.0|0
0|2020-02-01|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-02|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-03|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-04|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-05|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-06|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-07|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-08|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-09|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-10|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-11|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-12|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-13|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-14|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-15|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-16|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-17|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-18|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-19|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-20|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-21|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-22|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-23|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-24|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-25|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-26|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-27|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-28|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-02-29|3130.0|0|123.5|0|3.7959120946672815|0|3253.5|0
0|2020-03-01|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-02|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-03|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-04|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-05|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-06|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-07|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-08|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-09|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-10|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-11|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
0|2020-03-12|3023.0|0|176.0|0|5.501719287277274|0|3199.0|0
