|dates|Litchfield_Connecticut_UnitedStates.BLS_EmployedPopulation.data|Litchfield_Connecticut_UnitedStates.BLS_EmployedPopulation.missing|Litchfield_Connecticut_UnitedStates.BLS_UnemployedPopulation.data|Litchfield_Connecticut_UnitedStates.BLS_UnemployedPopulation.missing|Litchfield_Connecticut_UnitedStates.BLS_UnemploymentRate.data|Litchfield_Connecticut_UnitedStates.BLS_UnemploymentRate.missing|Litchfield_Connecticut_UnitedStates.BLS_LaborForcePopulation.data|Litchfield_Connecticut_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-02|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-03|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-04|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-05|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-06|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-07|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-08|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-09|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-10|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-11|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-12|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-13|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-14|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-15|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-16|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-17|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-18|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-19|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-20|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-21|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-22|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-23|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-24|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-25|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-26|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-27|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-28|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-29|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-30|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-01-31|101055.5|0|4594.0|0|4.348340503267881|0|105649.5|0
0|2020-02-01|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-02|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-03|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-04|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-05|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-06|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-07|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-08|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-09|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-10|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-11|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-12|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-13|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-14|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-15|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-16|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-17|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-18|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-19|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-20|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-21|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-22|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-23|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-24|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-25|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-26|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-27|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-28|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-02-29|100340.0|0|4502.0|0|4.294080616546804|0|104842.0|0
0|2020-03-01|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-02|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-03|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-04|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-05|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-06|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-07|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-08|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-09|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-10|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-11|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-12|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-13|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-14|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-15|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-16|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-17|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-18|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-19|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-20|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-21|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-22|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-23|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-24|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-25|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-26|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-27|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-28|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
0|2020-03-29|100645.0|0|4100.0|0|3.914267984151988|0|104745.0|0
