|dates|Porter_Indiana_UnitedStates.BLS_EmployedPopulation.data|Porter_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Porter_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Porter_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Porter_Indiana_UnitedStates.BLS_UnemploymentRate.data|Porter_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Porter_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Porter_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-02|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-03|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-04|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-05|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-06|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-07|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-08|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-09|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-10|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-11|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-12|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-13|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-14|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-15|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-16|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-17|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-18|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-19|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-20|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-21|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-22|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-23|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-24|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-25|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-26|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-27|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-28|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-29|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-30|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-01-31|82778.0|0|3748.5|0|4.332198806146094|0|86526.5|0
0|2020-02-01|83025.5|0|3601.5|0|4.15747976958685|0|86627.0|0
0|2020-02-02|83025.5|0|3601.5|0|4.15747976958685|0|86627.0|0
0|2020-02-03|83025.5|0|3601.5|0|4.15747976958685|0|86627.0|0
0|2020-02-04|83025.5|0|3601.5|0|4.15747976958685|0|86627.0|0
0|2020-02-05|83025.5|0|3601.5|0|4.15747976958685|0|86627.0|0
