|dates|Trigg_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Trigg_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Trigg_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Trigg_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Trigg_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Trigg_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Trigg_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Trigg_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-02|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-03|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-04|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-05|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-06|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-07|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-08|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-09|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-10|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-11|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-12|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-13|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-14|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-15|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-16|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-17|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-18|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-19|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-20|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-21|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-22|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
0|2020-01-23|5761.5|0|324.5|0|5.331909300032862|0|6086.0|0
