|dates|Delta_Michigan_UnitedStates.BLS_EmployedPopulation.data|Delta_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Delta_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Delta_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Delta_Michigan_UnitedStates.BLS_UnemploymentRate.data|Delta_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Delta_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Delta_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-02|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-03|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-04|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-05|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-06|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-07|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-08|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-09|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-10|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-11|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-12|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-13|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-14|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-15|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-16|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-17|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-18|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-19|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-20|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-21|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-22|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-23|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-24|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-25|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-26|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-27|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-28|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-29|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-30|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-01-31|15957.0|0|1040.5|0|6.121488454184439|0|16997.5|0
0|2020-02-01|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-02|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-03|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-04|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-05|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-06|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-07|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-08|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-09|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-10|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-11|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-12|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-13|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-14|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-15|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-16|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-17|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-18|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-19|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-20|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-21|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-22|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-23|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-24|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-25|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-26|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-27|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-28|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-02-29|16034.0|0|921.0|0|5.432025951046889|0|16955.0|0
0|2020-03-01|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-02|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-03|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-04|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-05|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-06|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
0|2020-03-07|15790.5|0|921.5|0|5.514001914791766|0|16712.0|0
