|dates|Wyandotte_Kansas_UnitedStates.BLS_EmployedPopulation.data|Wyandotte_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Wyandotte_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Wyandotte_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Wyandotte_Kansas_UnitedStates.BLS_UnemploymentRate.data|Wyandotte_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Wyandotte_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Wyandotte_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-02|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-03|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-04|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-05|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-06|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-07|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-08|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-09|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-10|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-11|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-12|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-13|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-14|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-15|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-16|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-17|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-18|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-19|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-20|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-21|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-22|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-23|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-24|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-25|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-26|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-27|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-28|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-29|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-30|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-01-31|74406.5|0|3446.5|0|4.42693280926875|0|77853.0|0
0|2020-02-01|74462.0|0|3471.5|0|4.454438720190932|0|77933.5|0
