|dates|Schleicher_Texas_UnitedStates.BLS_EmployedPopulation.data|Schleicher_Texas_UnitedStates.BLS_EmployedPopulation.missing|Schleicher_Texas_UnitedStates.BLS_UnemployedPopulation.data|Schleicher_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Schleicher_Texas_UnitedStates.BLS_UnemploymentRate.data|Schleicher_Texas_UnitedStates.BLS_UnemploymentRate.missing|Schleicher_Texas_UnitedStates.BLS_LaborForcePopulation.data|Schleicher_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-02|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-03|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-04|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-05|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-06|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-07|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-08|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-09|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-10|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-11|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-12|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-13|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-14|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-15|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-16|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-17|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-18|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-19|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-20|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-21|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-22|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-23|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-24|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-25|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-26|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-27|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-28|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-29|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-30|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-01-31|1242.0|0|39.5|0|3.0823253999219666|0|1281.5|0
0|2020-02-01|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-02|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-03|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-04|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-05|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-06|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
0|2020-02-07|1244.5|0|38.5|0|3.0007794232268123|0|1283.0|0
