|dates|Bertie_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Bertie_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Bertie_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Bertie_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Bertie_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Bertie_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Bertie_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Bertie_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-02|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-03|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-04|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-05|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-06|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-07|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-08|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-09|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-10|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-11|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-12|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-13|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-14|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-15|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-16|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-17|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-18|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-19|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-20|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-21|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-22|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-23|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-24|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-25|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-26|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-27|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-28|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-29|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-30|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-01-31|7514.0|0|414.5|0|5.227975026802043|0|7928.5|0
0|2020-02-01|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-02|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-03|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-04|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-05|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-06|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
0|2020-02-07|7531.0|0|396.5|0|5.0015767896562595|0|7927.5|0
