|dates|Niobrara_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Niobrara_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Niobrara_Wyoming_UnitedStates.Male_Total_Population.data|Niobrara_Wyoming_UnitedStates.Male_Total_Population.missing|Niobrara_Wyoming_UnitedStates.Female_Total_Population.data|Niobrara_Wyoming_UnitedStates.Female_Total_Population.missing|Niobrara_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.data|Niobrara_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-02|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-03|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-04|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-05|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-06|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-07|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-08|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-09|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-10|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-11|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-12|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-13|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-14|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-15|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-16|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-17|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-18|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-19|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-20|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-21|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-22|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-23|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-24|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-25|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-26|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-27|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-28|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-29|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-30|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-01-31|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-01|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-02|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-03|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-04|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-05|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-06|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-07|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-08|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-09|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-10|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-11|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2020-02-12|540.0|0|1091.0|0|1297.0|0|424.0|0
