|dates|Hays_Texas_UnitedStates.BLS_EmployedPopulation.data|Hays_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hays_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hays_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hays_Texas_UnitedStates.BLS_UnemploymentRate.data|Hays_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hays_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hays_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-03|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-04|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-05|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-06|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-07|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-08|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-09|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-10|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-11|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-12|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-13|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-14|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-15|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-16|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-17|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-18|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-19|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-20|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-21|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-22|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-23|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-24|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-25|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-26|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-27|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-28|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-29|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-30|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-03-31|115688.0|0|4654.5|0|3.867710908448802|0|120342.5|0
0|2020-04-01|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-02|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-03|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-04|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-05|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-06|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-07|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-08|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-09|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-10|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-11|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-12|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-13|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-14|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-15|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-16|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-17|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-18|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-19|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-20|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-21|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-22|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-23|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-24|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-25|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-26|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-27|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-28|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-29|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-04-30|98611.0|0|14117.5|0|12.523452365639567|0|112728.5|0
0|2020-05-01|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-02|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-03|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-04|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-05|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-06|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-07|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-08|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-09|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-10|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-11|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-12|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-13|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-14|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-15|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-16|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-17|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-18|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-19|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-20|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-21|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-22|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-23|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-24|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-25|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-26|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-27|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-28|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-29|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-30|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-05-31|103957.0|0|12448.0|0|10.693698724281603|0|116405.0|0
0|2020-06-01|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-02|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-03|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-04|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-05|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-06|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-07|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-08|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-09|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-10|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-11|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-12|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-13|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-14|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-15|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-16|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-17|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-18|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-19|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-20|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-21|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-22|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-23|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-24|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-25|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-26|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-27|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-28|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-29|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-06-30|110604.0|0|10982.0|0|9.032289901797904|0|121586.0|0
0|2020-07-01|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-02|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-03|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-04|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-05|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-06|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-07|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
0|2020-07-08|111627.0|0|9808.0|0|8.076748878000576|0|121435.0|0
