|dates|Pine_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Pine_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Pine_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Pine_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Pine_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Pine_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Pine_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Pine_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-02|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-03|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-04|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-05|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-06|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-07|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-08|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-09|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-10|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-11|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-12|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-13|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-14|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-15|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-16|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-17|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-18|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-19|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-20|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-21|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-22|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-23|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-24|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-25|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-26|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-27|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-28|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-29|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-30|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-01-31|13911.0|0|1299.0|0|8.54043392504931|0|15210.0|0
0|2020-02-01|14000.0|0|1199.0|0|7.8886768866372785|0|15199.0|0
0|2020-02-02|14000.0|0|1199.0|0|7.8886768866372785|0|15199.0|0
