|dates|Beaver_Utah_UnitedStates.BLS_EmployedPopulation.data|Beaver_Utah_UnitedStates.BLS_EmployedPopulation.missing|Beaver_Utah_UnitedStates.BLS_UnemployedPopulation.data|Beaver_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Beaver_Utah_UnitedStates.BLS_UnemploymentRate.data|Beaver_Utah_UnitedStates.BLS_UnemploymentRate.missing|Beaver_Utah_UnitedStates.BLS_LaborForcePopulation.data|Beaver_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-02|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-03|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-04|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-05|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-06|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-07|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-08|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-09|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-10|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-11|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-12|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-13|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-14|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-15|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-16|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-17|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-18|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-19|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-20|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
0|2020-01-21|2668.0|0|86.0|0|3.122730573710966|0|2754.0|0
