|dates|Kingman_Kansas_UnitedStates.BLS_EmployedPopulation.data|Kingman_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Kingman_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Kingman_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Kingman_Kansas_UnitedStates.BLS_UnemploymentRate.data|Kingman_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Kingman_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Kingman_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-02|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-03|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-04|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-05|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-06|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-07|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-08|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-09|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-10|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-11|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-12|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-13|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-14|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-15|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-16|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-17|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-18|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-19|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-20|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-21|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-22|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-23|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-24|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-25|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-26|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-27|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-28|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-29|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-30|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-01-31|3281.5|0|116.0|0|3.4142752023546725|0|3397.5|0
0|2020-02-01|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-02|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-03|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-04|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-05|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-06|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-07|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-08|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-09|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-10|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-11|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-12|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-13|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-14|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-15|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-16|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-17|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
0|2020-02-18|3321.5|0|108.0|0|3.149147105992127|0|3429.5|0
