|dates|Brown_Kansas_UnitedStates.BLS_EmployedPopulation.data|Brown_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Brown_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Brown_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Brown_Kansas_UnitedStates.BLS_UnemploymentRate.data|Brown_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Brown_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Brown_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-02|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-03|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-04|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-05|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-06|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-07|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-08|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-09|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-10|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-11|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-12|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-13|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-14|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-15|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-16|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-17|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-18|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-19|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-20|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-21|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-22|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
0|2020-01-23|5062.0|0|171.5|0|3.276965701729244|0|5233.5|0
