|dates|Montrose_Colorado_UnitedStates.BLS_EmployedPopulation.data|Montrose_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Montrose_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Montrose_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Montrose_Colorado_UnitedStates.BLS_UnemploymentRate.data|Montrose_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Montrose_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Montrose_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-02|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-03|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-04|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-05|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-06|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-07|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-08|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-09|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-10|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-11|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-12|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-13|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-14|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-15|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-16|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-17|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-18|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-19|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-20|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-21|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-22|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-23|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-24|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-25|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-26|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-27|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-28|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-29|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-30|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
0|2020-01-31|20836.0|0|735.5|0|3.40959135896901|0|21571.5|0
