|dates|Clay_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Clay_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Clay_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Clay_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Clay_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Clay_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Clay_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Clay_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-02|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-03|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-04|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-05|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-06|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-07|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-08|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-09|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-10|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-11|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-12|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-13|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-14|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-15|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-16|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-17|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-18|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-19|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-20|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-21|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-22|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-23|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-24|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-25|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-26|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-27|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-28|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-29|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-30|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-01-31|7298.0|0|238.5|0|3.164598951768062|0|7536.5|0
0|2020-02-01|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-02|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-03|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-04|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-05|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-06|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-07|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-08|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-09|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-10|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-11|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-12|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-13|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-14|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-15|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-16|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-17|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-18|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-19|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-20|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-21|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-22|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-23|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-24|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-25|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-26|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-27|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-28|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-02-29|7577.5|0|199.5|0|2.5652565256525652|0|7777.0|0
0|2020-03-01|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-02|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-03|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-04|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-05|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-06|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-07|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-08|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-09|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-10|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-11|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-12|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-13|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-14|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-15|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-16|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-17|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-18|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-19|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-20|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-21|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-22|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-23|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-24|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-25|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
0|2020-03-26|7381.0|0|222.0|0|2.9199000394581085|0|7603.0|0
