|dates|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.data|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.missing|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.data|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-05|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-06|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-07|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-08|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-09|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-10|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-11|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-12|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-13|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-14|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-15|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-16|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-17|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-18|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-19|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-20|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-21|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-22|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-23|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-24|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-25|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-26|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-27|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-28|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-29|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-30|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-03-31|15702.5|0|595.5|0|3.6538225549147136|0|16298.0|0
0|2020-04-01|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-02|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-03|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-04|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-05|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-06|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-07|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-08|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-09|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-10|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-11|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-12|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-13|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-14|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-15|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-16|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-17|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-18|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-19|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-20|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-21|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-22|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-23|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-24|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-25|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-26|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-27|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-28|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-29|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-04-30|13164.0|0|2807.5|0|17.57818614406912|0|15971.5|0
0|2020-05-01|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-02|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-03|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-04|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-05|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-06|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-07|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-08|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-09|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-10|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-11|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-12|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-13|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-14|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-15|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-16|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-17|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-18|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-19|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-20|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-21|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-22|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-23|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-24|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-25|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-26|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-27|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-28|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-29|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-30|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-05-31|13867.0|0|2066.0|0|12.966798468587209|0|15933.0|0
0|2020-06-01|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-02|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-03|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-04|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-05|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-06|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-07|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-08|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-09|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-10|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-11|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-12|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-13|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-14|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-15|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-16|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-17|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-18|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-19|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-20|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-21|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-22|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-23|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-24|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-25|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-26|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-27|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-28|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-29|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-06-30|15227.0|0|1593.0|0|9.470868014268728|0|16820.0|0
0|2020-07-01|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-02|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-03|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-04|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-05|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-06|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-07|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-08|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-09|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-10|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-11|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-12|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-13|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-14|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-15|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-16|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-17|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-18|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-19|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-20|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-21|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-22|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-23|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-24|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-25|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-26|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-27|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-28|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-29|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-30|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-07-31|15677.0|0|1179.0|0|6.994542002847651|0|16856.0|0
0|2020-08-01|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-02|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-03|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-04|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-05|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-06|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-07|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-08|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-09|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-10|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-11|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-12|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-13|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-14|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-15|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-16|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-17|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-18|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-19|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-20|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-21|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-22|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-23|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
