|dates|Scott_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Scott_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Scott_Iowa_UnitedStates.Male_Total_Population.data|Scott_Iowa_UnitedStates.Male_Total_Population.missing|Scott_Iowa_UnitedStates.Female_Total_Population.data|Scott_Iowa_UnitedStates.Female_Total_Population.missing|Scott_Iowa_UnitedStates.MaleAndFemale_Under18_Population.data|Scott_Iowa_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-02|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-03|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-04|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-05|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-06|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-07|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-08|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-09|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-10|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-11|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-12|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-13|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-14|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-15|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-16|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-17|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-18|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-19|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-20|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-21|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-22|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-23|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-24|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-25|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-26|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-27|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-28|28142.0|0|84974.0|0|88309.0|0|41080.0|0
0|2020-01-29|28142.0|0|84974.0|0|88309.0|0|41080.0|0
