|dates|Mesa_Colorado_UnitedStates.BLS_EmployedPopulation.data|Mesa_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Mesa_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Mesa_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Mesa_Colorado_UnitedStates.BLS_UnemploymentRate.data|Mesa_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Mesa_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Mesa_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-02|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-03|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-04|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-05|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-06|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-07|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-08|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-09|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-10|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-11|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-12|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-13|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-14|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-15|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-16|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-17|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-18|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-19|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-20|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-21|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-22|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-23|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-24|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-25|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-26|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-27|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-28|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-29|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-30|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-01-31|72502.5|0|3093.0|0|4.091513383733159|0|75595.5|0
0|2020-02-01|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-02|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-03|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-04|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-05|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-06|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-07|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-08|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-09|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-10|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-11|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-12|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-13|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-14|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-15|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-16|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-17|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-18|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-19|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-20|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-21|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-22|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-23|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-24|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-25|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-26|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-27|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-28|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-02-29|73415.5|0|3118.5|0|4.0746596284004495|0|76534.0|0
0|2020-03-01|70487.0|0|5089.5|0|6.734236171296633|0|75576.5|0
0|2020-03-02|70487.0|0|5089.5|0|6.734236171296633|0|75576.5|0
