|dates|Weakley_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Weakley_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Weakley_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Weakley_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Weakley_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Weakley_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Weakley_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Weakley_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-02|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-03|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-04|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-05|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-06|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-07|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-08|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-09|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-10|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-11|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-12|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-13|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-14|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-15|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-16|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-17|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-18|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-19|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-20|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-21|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-22|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-23|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-24|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-25|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-26|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
0|2020-01-27|15367.5|0|664.0|0|4.141845741197018|0|16031.5|0
