|dates|Bucks_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Bucks_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Bucks_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Bucks_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Bucks_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Bucks_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Bucks_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Bucks_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-02|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-03|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-04|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-05|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-06|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-07|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-08|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-09|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-10|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-11|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-12|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-13|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-14|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-15|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-16|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-17|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-18|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-19|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-20|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-21|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-22|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-23|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-24|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-25|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-26|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-27|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-28|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-29|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-30|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-01-31|331581.0|0|15150.0|0|4.369381451326821|0|346731.0|0
0|2020-02-01|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-02|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-03|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-04|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-05|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-06|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-07|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-08|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-09|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-10|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-11|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-12|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-13|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-14|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-15|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-16|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-17|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-18|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-19|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-20|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-21|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-22|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-23|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-24|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-25|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-26|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-27|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-28|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-02-29|332002.5|0|15368.5|0|4.424232304941978|0|347371.0|0
0|2020-03-01|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-02|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-03|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-04|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-05|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-06|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-07|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-08|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-09|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
0|2020-03-10|326616.5|0|17017.5|0|4.95221660254806|0|343634.0|0
