|dates|Eaton_Michigan_UnitedStates.BLS_EmployedPopulation.data|Eaton_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Eaton_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Eaton_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Eaton_Michigan_UnitedStates.BLS_UnemploymentRate.data|Eaton_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Eaton_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Eaton_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-02|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-03|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-04|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-05|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-06|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-07|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-08|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-09|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-10|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-11|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-12|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-13|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-14|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-15|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-16|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-17|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-18|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-19|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-20|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-21|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-22|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-23|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-24|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-25|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-26|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-27|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-28|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-29|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-30|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-01-31|55583.0|0|1825.5|0|3.1798427062194623|0|57408.5|0
0|2020-02-01|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-02|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-03|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-04|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-05|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-06|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-07|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-08|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-09|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-10|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-11|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
0|2020-02-12|56811.5|0|1687.5|0|2.8846646951229937|0|58499.0|0
