|dates|Placer_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Placer_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Placer_California_UnitedStates.Male_Total_Population.data|Placer_California_UnitedStates.Male_Total_Population.missing|Placer_California_UnitedStates.Female_Total_Population.data|Placer_California_UnitedStates.Female_Total_Population.missing|Placer_California_UnitedStates.MaleAndFemale_Under18_Population.data|Placer_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-25|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-26|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-27|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-28|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-29|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-30|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-01-31|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-25|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-26|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-27|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-28|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-02-29|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2020-03-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
