|dates|Hale_Texas_UnitedStates.BLS_EmployedPopulation.data|Hale_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hale_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hale_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hale_Texas_UnitedStates.BLS_UnemploymentRate.data|Hale_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hale_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hale_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-02|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-03|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-04|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-05|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-06|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-07|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-08|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-09|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-10|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-11|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-12|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-13|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-14|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-15|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-16|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-17|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-18|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-19|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-20|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-21|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-22|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-23|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-24|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-25|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-26|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-27|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-28|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-29|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-30|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-01-31|11352.0|0|556.0|0|4.669129996640914|0|11908.0|0
0|2020-02-01|11470.5|0|530.0|0|4.4164826465563936|0|12000.5|0
0|2020-02-02|11470.5|0|530.0|0|4.4164826465563936|0|12000.5|0
