|dates|Moore_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Moore_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Moore_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Moore_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Moore_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Moore_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Moore_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Moore_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-02|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-03|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-04|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-05|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-06|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-07|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-08|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-09|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-10|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-11|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-12|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-13|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-14|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-15|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-16|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-17|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-18|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-19|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-20|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-21|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-22|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-23|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-24|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-25|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-26|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-27|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-28|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-29|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-30|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-01-31|40830.5|0|1613.0|0|3.8003463427851143|0|42443.5|0
0|2020-02-01|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-02|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-03|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-04|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-05|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-06|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-07|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-08|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-09|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-10|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-11|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
0|2020-02-12|41258.5|0|1484.5|0|3.4730833118873266|0|42743.0|0
