|dates|Washington_Indiana_UnitedStates.BLS_EmployedPopulation.data|Washington_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Washington_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Washington_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Indiana_UnitedStates.BLS_UnemploymentRate.data|Washington_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Washington_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Washington_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-02|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-03|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-04|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-05|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-06|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-07|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-08|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-09|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-10|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-11|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-12|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-13|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-14|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-15|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-16|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-17|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-18|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-19|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-20|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-21|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-22|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-23|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-24|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-25|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-26|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-27|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
0|2020-01-28|13181.0|0|513.0|0|3.746166204177012|0|13694.0|0
