|dates|Hardin_Illinois_UnitedStates.BLS_EmployedPopulation.data|Hardin_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Hardin_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Hardin_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Hardin_Illinois_UnitedStates.BLS_UnemploymentRate.data|Hardin_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Hardin_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Hardin_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-02|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-03|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-04|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-05|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-06|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-07|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-08|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-09|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-10|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-11|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-12|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-13|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-14|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-15|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-16|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-17|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-18|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-19|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-20|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-21|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-22|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-23|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-24|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-25|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-26|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-27|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-28|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-29|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-30|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-01-31|1189.0|0|83.5|0|6.56188605108055|0|1272.5|0
0|2020-02-01|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-02|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-03|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-04|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-05|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-06|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-07|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-08|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-09|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-10|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-11|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-12|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-13|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-14|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-15|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-16|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-17|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-18|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-19|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-20|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-21|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-22|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-23|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-24|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-25|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-26|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-27|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-28|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-02-29|1202.0|0|72.0|0|5.65149136577708|0|1274.0|0
0|2020-03-01|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-02|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-03|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-04|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-05|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-06|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-07|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-08|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-09|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-10|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-11|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-12|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-13|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-14|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-15|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-16|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-17|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-18|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-19|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-20|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-21|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-22|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-23|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-24|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-25|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-26|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-27|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-28|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
0|2020-03-29|1175.5|0|69.0|0|5.544395339493772|0|1244.5|0
