|dates|Manassas_Virginia_UnitedStates.BLS_EmployedPopulation.data|Manassas_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Manassas_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Manassas_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Manassas_Virginia_UnitedStates.BLS_UnemploymentRate.data|Manassas_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Manassas_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Manassas_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-02|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-03|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-04|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-05|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-06|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-07|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-08|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-09|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-10|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-11|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-12|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-13|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-14|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-15|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-16|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-17|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-18|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-19|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-20|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-21|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-22|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-23|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-24|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-25|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-26|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-27|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-28|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-29|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-30|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-01-31|21718.0|0|602.0|0|2.697132616487455|0|22320.0|0
0|2020-02-01|21909.5|0|542.0|0|2.41409259960359|0|22451.5|0
0|2020-02-02|21909.5|0|542.0|0|2.41409259960359|0|22451.5|0
