|dates|Florence_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Florence_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Florence_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Florence_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Florence_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Florence_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Florence_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Florence_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-02|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-03|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-04|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-05|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-06|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-07|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-08|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-09|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-10|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-11|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-12|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-13|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-14|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-15|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-16|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-17|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-18|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-19|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-20|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-21|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-22|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-23|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-24|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-25|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-26|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-27|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-28|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-29|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-30|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-01-31|64711.5|0|2036.5|0|3.0510277461496975|0|66748.0|0
0|2020-02-01|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-02|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-03|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-04|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-05|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-06|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-07|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-08|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-09|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-10|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-11|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-12|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-13|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-14|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-15|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-16|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-17|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-18|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-19|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
0|2020-02-20|64808.0|0|2023.5|0|3.027763853871303|0|66831.5|0
