|dates|Starke_Indiana_UnitedStates.AveragePrecipitationTotal.data|Starke_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Starke_Indiana_UnitedStates.AveragePrecipitation.data|Starke_Indiana_UnitedStates.AveragePrecipitation.missing|Starke_Indiana_UnitedStates.AverageWindDirection.data|Starke_Indiana_UnitedStates.AverageWindDirection.missing|Starke_Indiana_UnitedStates.AverageWindSpeed.data|Starke_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|212.29166666666666|0|12.375|0
0|2020-01-02|0.0|0|0.0|0|201.51041666666666|0|12.010416666666666|0
0|2020-01-03|0.0|0|0.0|0|253.54166666666666|0|5.395833333333333|0
0|2020-01-04|0.0|0|0.0|0|299.375|0|8.78125|0
0|2020-01-05|0.0|0|0.0|0|230.83333333333334|0|13.583333333333334|0
0|2020-01-06|0.0|0|0.0|0|238.64583333333334|0|8.604166666666666|0
0|2020-01-07|0.0|0|0.0|0|219.63541666666666|0|9.010416666666666|0
0|2020-01-08|0.0|0|0.0|0|206.5625|0|10.875|0
0|2020-01-09|0.0|0|0.0|0|160.83333333333334|0|19.947916666666668|0
0|2020-01-10|0.0|0|0.0|0|165.72916666666666|0|10.375|0
0|2020-01-11|0.0|0|0.0|0|257.6041666666667|0|14.427083333333334|0
0|2020-01-12|0.0|0|0.0|0|186.77083333333334|0|6.90625|0
0|2020-01-13|0.0|0|0.0|0|186.35416666666666|0|7.677083333333333|0
0|2020-01-14|0.0|0|0.0|0|177.70833333333334|0|6.875|0
0|2020-01-15|0.0|0|0.0|0|170.9375|0|7.854166666666667|0
0|2020-01-16|0.0|0|0.0|0|284.5833333333333|0|13.625|0
0|2020-01-17|0.0|0|0.0|0|100.3125|0|12.114583333333334|0
0|2020-01-18|0.0|0|0.0|0|214.16666666666666|0|19.427083333333332|0
0|2020-01-19|0.0|0|0.0|0|262.3958333333333|0|14.90625|0
0|2020-01-20|0.0|0|0.0|0|129.375|0|2.5833333333333335|0
0|2020-01-21|0.0|0|0.0|0|231.77083333333334|0|5.729166666666667|0
0|2020-01-22|0.0|0|0.0|0|173.02083333333334|0|10.84375|0
0|2020-01-23|0.0|0|0.0|0|139.47916666666666|0|7.875|0
0|2020-01-24|0.0|0|0.0|0|128.33333333333334|0|6.760416666666667|0
0|2020-01-25|0.0|0|0.0|0|234.89583333333334|0|11.229166666666666|0
0|2020-01-26|0.0|0|0.0|0|252.08333333333334|0|10.458333333333334|0
0|2020-01-27|0.0|0|0.0|0|282.5520833333333|0|6.5|0
0|2020-01-28|0.0|0|0.0|0|214.16666666666666|0|3.9791666666666665|0
0|2020-01-29|0.0|0|0.0|0|25.416666666666668|0|2.0625|0
0|2020-01-30|0.0|0|0.0|0|75.3125|0|1.9791666666666667|0
0|2020-01-31|0.0|0|0.0|0|125.0|0|3.5625|0
0|2020-02-01|0.0|0|0.0|0|205.41666666666666|0|9.760416666666666|0
0|2020-02-02|0.0|0|0.0|0|241.66666666666666|0|16.708333333333332|0
0|2020-02-03|0.0|0|0.0|0|129.16666666666666|0|3.7083333333333335|0
0|2020-02-04|0.0|0|0.0|0|171.875|0|12.71875|0
0|2020-02-05|0.0|0|0.0|0|63.854166666666664|0|10.161458333333334|0
0|2020-02-06|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-07|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-08|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-09|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-10|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-11|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-12|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-13|0.0|0|0.0|0|70.0|0|10.0|0
0|2020-02-14|0.0|0|0.0|0|131.77083333333334|0|7.96875|0
0|2020-02-15|0.0|0|0.0|0|196.97916666666666|0|13.489583333333334|0
0|2020-02-16|0.0|0|0.0|0|108.4375|0|2.3645833333333335|0
0|2020-02-17|0.0|0|0.0|0|105.9375|0|10.635416666666666|0
0|2020-02-18|0.0|0|0.0|0|282.1875|0|10.010416666666666|0
