|dates|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|NorthSlope_Alaska_UnitedStates.Male_Total_Population.data|NorthSlope_Alaska_UnitedStates.Male_Total_Population.missing|NorthSlope_Alaska_UnitedStates.Female_Total_Population.data|NorthSlope_Alaska_UnitedStates.Female_Total_Population.missing|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-30|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-01-31|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-02-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-30|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-03-31|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2020-04-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
