|dates|Montgomery_Indiana_UnitedStates.AveragePrecipitationTotal.data|Montgomery_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Montgomery_Indiana_UnitedStates.AveragePrecipitation.data|Montgomery_Indiana_UnitedStates.AveragePrecipitation.missing|Montgomery_Indiana_UnitedStates.AverageWindDirection.data|Montgomery_Indiana_UnitedStates.AverageWindDirection.missing|Montgomery_Indiana_UnitedStates.AverageWindSpeed.data|Montgomery_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|231.04166666666666|0|11.0625|0
0|2020-01-02|0.0|0|0.0|0|218.02083333333334|0|11.640625|0
0|2020-01-03|0.0|0|0.0|0|209.0625|0|3.6770833333333335|0
0|2020-01-04|0.0|0|0.0|0|306.9791666666667|0|11.697916666666666|0
0|2020-01-05|0.0|0|0.0|0|251.97916666666666|0|14.291666666666666|0
0|2020-01-06|0.0|0|0.0|0|236.5625|0|7.010416666666667|0
0|2020-01-07|0.0|0|0.0|0|181.45833333333334|0|7.78125|0
0|2020-01-08|0.0|0|0.0|0|208.54166666666666|0|9.541666666666666|0
0|2020-01-09|0.0|0|0.0032291666666666666|0|177.1875|0|13.916666666666666|0
0|2020-01-10|0.011458333333333334|0|0.027812499999999966|0|195.9375|0|9.854166666666666|0
0|2020-01-11|0.021041666666666667|0|0.027604166666666655|0|213.33333333333334|0|11.3125|0
0|2020-01-12|0.008125|0|0.00010416666666666667|0|183.4375|0|5.90625|0
0|2020-01-13|0.0|0|0.0|0|203.64583333333334|0|7.625|0
0|2020-01-14|0.0|0|0.0|0|204.375|0|7.65625|0
0|2020-01-15|0.0|0|0.0|0|182.29166666666666|0|9.46875|0
0|2020-01-16|0.0|0|0.0|0|291.5625|0|13.208333333333334|0
0|2020-01-17|0.0|0|0.0|0|121.77083333333333|0|13.1875|0
0|2020-01-18|0.005|0|0.008125000000000002|0|232.1875|0|20.260416666666668|0
0|2020-01-19|0.0010416666666666667|0|0.0|0|294.0625|0|19.791666666666668|0
0|2020-01-20|0.0|0|0.0|0|215.625|0|4.447916666666667|0
0|2020-01-21|0.0|0|0.0|0|171.35416666666666|0|2.78125|0
