|dates|Decatur_Kansas_UnitedStates.BLS_EmployedPopulation.data|Decatur_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Decatur_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Decatur_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Decatur_Kansas_UnitedStates.BLS_UnemploymentRate.data|Decatur_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Decatur_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Decatur_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-02|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-03|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-04|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-05|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-06|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-07|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-08|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-09|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-10|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-11|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-12|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-13|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-14|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-15|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-16|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-17|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-18|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-19|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-20|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-21|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-22|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-23|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-24|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-25|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
0|2020-01-26|1145.5|0|38.0|0|3.2108153781157585|0|1183.5|0
