|dates|Perry_Kentucky_UnitedStates.AveragePrecipitationTotal.data|Perry_Kentucky_UnitedStates.AveragePrecipitationTotal.missing|Perry_Kentucky_UnitedStates.AveragePrecipitation.data|Perry_Kentucky_UnitedStates.AveragePrecipitation.missing|Perry_Kentucky_UnitedStates.AverageWindDirection.data|Perry_Kentucky_UnitedStates.AverageWindDirection.missing|Perry_Kentucky_UnitedStates.AverageWindSpeed.data|Perry_Kentucky_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|165.27777777777777|0|5.479166666666667|0
0|2020-01-02|0.0|0|0.010208333333333335|0|150.41666666666666|0|5.0|0
0|2020-01-03|0.023333333333333334|0|0.014472222222222221|0|155.26339285714286|0|3.944295634920635|0
0|2020-01-04|0.0030833333333333333|0|0.006458333333333333|0|219.57638888888889|0|8.31736111111111|0
0|2020-01-05|0.002916666666666667|0|0.0|0|171.18055555555554|0|6.8819444444444455|0
0|2020-01-06|0.0|0|0.0|0|105.0|0|3.25|0
0|2020-01-07|0.0006770833333333334|0|0.0061354166666666675|0|102.55902777777779|0|4.127430555555556|0
0|2020-01-08|0.00375|0|0.0|0|146.66666666666666|0|6.25|0
0|2020-01-09|0.0|0|0.0|0|100.41666666666667|0|3.5833333333333335|0
0|2020-01-10|0.0|0|0.0|0|136.66666666666666|0|5.541666666666667|0
0|2020-01-11|0.0|0|0.033310515873015874|0|135.16964285714286|0|7.821726190476191|0
0|2020-01-12|0.022708333333333334|0|0.0|0|85.83333333333333|0|3.875|0
0|2020-01-13|0.0|0|0.0|0|111.25|0|2.625|0
0|2020-01-14|0.0062499999999999995|0|0.00510515873015873|0|91.16071428571429|0|3.345634920634921|0
0|2020-01-15|0.00020833333333333335|0|0.0|0|125.86805555555556|0|4.932539682539683|0
0|2020-01-16|0.0|0|0.0|0|186.31944444444443|0|6.416666666666667|0
0|2020-01-17|0.0|0|0.0|0|15.833333333333334|0|4.25|0
0|2020-01-18|0.0004166666666666667|0|0.008125|0|162.08333333333334|0|8.590277777777779|0
0|2020-01-19|0.01|0|0.0|0|210.0|0|7.958333333333333|0
0|2020-01-20|0.0|0|0.0|0|4.027777777777778|0|2.048611111111111|0
0|2020-01-21|0.0|0|0.0|0|14.756944444444443|0|1.7743055555555554|0
0|2020-01-22|0.0|0|0.0|0|39.166666666666664|0|1.625|0
0|2020-01-23|0.0|0|0.0|0|37.083333333333336|0|2.2083333333333335|0
0|2020-01-24|0.005416666666666667|0|0.01867063492063492|0|105.89880952380953|0|4.885119047619048|0
0|2020-01-25|0.018333333333333333|0|0.0006944444444444445|0|119.75694444444444|0|5.152777777777778|0
0|2020-01-26|0.0004166666666666667|0|0.0|0|139.23611111111111|0|5.395833333333333|0
0|2020-01-27|0.0004166666666666667|0|0.0008333333333333334|0|127.01388888888887|0|3.756944444444444|0
0|2020-01-28|0.0|0|0.0|0|96.04166666666667|0|2.875|0
0|2020-01-29|0.0|0|0.0|0|41.666666666666664|0|1.7916666666666667|0
0|2020-01-30|0.0|0|0.0|0|12.291666666666666|0|0.46875|0
0|2020-01-31|0.0|0|0.0|0|37.083333333333336|0|0.75|0
0|2020-02-01|0.002916666666666667|0|0.006071428571428572|0|114.38492063492065|0|4.122023809523809|0
0|2020-02-02|0.00375|0|0.0|0|193.75|0|7.833333333333333|0
0|2020-02-03|0.0|0|0.0|0|184.16666666666666|0|6.125|0
0|2020-02-04|0.0013333333333333333|0|0.036282242063492065|0|133.69146825396828|0|5.095238095238095|0
0|2020-02-05|0.049999999999999996|0|0.016118055555555556|0|46.214285714285715|0|4.067063492063491|0
0|2020-02-06|0.008541666666666666|0|0.013277777777777777|0|181.75694444444446|0|5.134722222222222|0
0|2020-02-07|0.0034999999999999996|0|0.006409722222222223|0|180.69444444444443|0|6.256250000000001|0
0|2020-02-08|0.0008333333333333334|0|0.0007812500000000002|0|115.05208333333333|0|3.1875|0
0|2020-02-09|0.00125|0|0.0|0|108.125|0|4.112847222222222|0
0|2020-02-10|0.009583333333333334|0|0.03622222222222222|0|155.5902777777778|0|4.97986111111111|0
0|2020-02-11|0.030416666666666665|0|0.019071428571428573|0|93.30555555555556|0|3.5506944444444444|0
0|2020-02-12|0.003541666666666667|0|0.018326388888888892|0|29.11904761904762|0|2.7558531746031747|0
0|2020-02-13|0.027708333333333335|0|0.02324305555555556|0|190.625|0|7.636805555555555|0
0|2020-02-14|0.004166666666666667|0|0.0|0|172.16666666666666|0|5.341666666666666|0
0|2020-02-15|0.0|0|0.0|0|79.16666666666667|0|3.5416666666666665|0
0|2020-02-16|0.0|0|0.0|0|110.83333333333333|0|3.7916666666666665|0
0|2020-02-17|0.0|0|0.0|0|67.5|0|4.0|0
0|2020-02-18|0.0|0|0.012055555555555557|0|133.50694444444446|0|5.186111111111112|0
0|2020-02-19|0.015416666666666667|0|0.0|0|22.222222222222225|0|3.7013888888888893|0
0|2020-02-20|0.0|0|0.0|0|40.0|0|4.75|0
0|2020-02-21|0.0|0|0.0|0|7.916666666666667|0|2.5416666666666665|0
0|2020-02-22|0.0|0|0.0|0|100.0|0|2.4583333333333335|0
0|2020-02-23|0.0|0|0.0|0|148.75|0|4.208333333333333|0
0|2020-02-24|0.0|0|0.004583333333333333|0|114.93055555555556|0|3.840277777777778|0
0|2020-02-25|0.011666666666666667|0|0.00525|0|117.2638888888889|0|4.269444444444445|0
0|2020-02-26|0.0|0|0.008888888888888889|0|163.8125|0|6.730555555555555|0
0|2020-02-27|0.0060416666666666665|0|0.0|0|175.06944444444443|0|7.034722222222222|0
