|dates|Republic_Kansas_UnitedStates.BLS_EmployedPopulation.data|Republic_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Republic_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Republic_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Republic_Kansas_UnitedStates.BLS_UnemploymentRate.data|Republic_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Republic_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Republic_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-02|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-03|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-04|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-05|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-06|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-07|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-08|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-09|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-10|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-11|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-12|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-13|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-14|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-15|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-16|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-17|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-18|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-19|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-20|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-21|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-22|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-23|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-24|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-25|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-26|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-27|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-28|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-29|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-30|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-01-31|2148.5|0|58.0|0|2.6285973260820303|0|2206.5|0
0|2020-02-01|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
0|2020-02-02|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
0|2020-02-03|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
0|2020-02-04|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
0|2020-02-05|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
0|2020-02-06|2180.0|0|55.0|0|2.460850111856823|0|2235.0|0
