|dates|Doniphan_Kansas_UnitedStates.BLS_EmployedPopulation.data|Doniphan_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Doniphan_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Doniphan_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Doniphan_Kansas_UnitedStates.BLS_UnemploymentRate.data|Doniphan_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Doniphan_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Doniphan_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-02|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-03|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-04|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-05|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-06|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-07|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-08|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-09|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-10|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-11|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-12|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-13|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-14|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-15|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-16|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-17|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-18|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-19|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-20|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-21|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-22|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-23|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-24|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-25|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-26|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-27|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-28|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-29|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-30|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-01-31|3968.5|0|151.0|0|3.6654933851195532|0|4119.5|0
0|2020-02-01|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-02|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-03|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-04|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-05|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-06|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-07|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-08|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-09|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-10|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-11|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-12|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-13|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-14|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-15|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-16|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-17|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
0|2020-02-18|3986.0|0|158.0|0|3.812741312741313|0|4144.0|0
