|dates|Butte_Idaho_UnitedStates.AveragePrecipitationTotal.data|Butte_Idaho_UnitedStates.AveragePrecipitationTotal.missing|Butte_Idaho_UnitedStates.AveragePrecipitation.data|Butte_Idaho_UnitedStates.AveragePrecipitation.missing|Butte_Idaho_UnitedStates.AverageWindDirection.data|Butte_Idaho_UnitedStates.AverageWindDirection.missing|Butte_Idaho_UnitedStates.AverageWindSpeed.data|Butte_Idaho_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|170.0|0|5.455729166666667|0
0|2020-01-02|0.0|0|0.0|0|168.90625|0|4.244791666666667|0
0|2020-01-03|0.0|0|0.0|0|271.1979166666667|0|5.791666666666667|0
0|2020-01-04|0.0|0|0.0|0|247.08333333333334|0|8.015625|0
0|2020-01-05|0.0|0|0.0|0|226.77083333333334|0|6.463541666666667|0
0|2020-01-06|0.0|0|0.0|0|210.3125|0|5.9375|0
0|2020-01-07|0.0|0|0.0|0|280.8333333333333|0|6.776041666666667|0
0|2020-01-08|0.0|0|0.0|0|224.84375|0|6.1875|0
0|2020-01-09|0.0|0|0.0|0|233.48958333333334|0|5.291666666666667|0
0|2020-01-10|0.0|0|0.0003125|0|250.78125|0|6.817708333333333|0
0|2020-01-11|0.0|0|0.0005208333333333333|0|251.97916666666666|0|4.515625|0
0|2020-01-12|0.0|0|0.0005729166666666668|0|223.02083333333334|0|8.203125|0
0|2020-01-13|0.0|0|0.0007291666666666667|0|145.78125|0|4.994791666666667|0
0|2020-01-14|0.0|0|0.0039583333333333345|0|200.3125|0|5.036458333333333|0
0|2020-01-15|0.0|0|0.0|0|287.4479166666667|0|8.015625|0
0|2020-01-16|0.0|0|0.0|0|287.2395833333333|0|7.703125|0
0|2020-01-17|0.0|0|0.0|0|181.19791666666666|0|5.447916666666667|0
0|2020-01-18|0.0|0|0.0|0|247.03125|0|6.796875|0
0|2020-01-19|0.0|0|0.0|0|283.0729166666667|0|7.552083333333333|0
0|2020-01-20|0.0|0|0.0|0|249.42708333333334|0|7.526041666666667|0
0|2020-01-21|0.0|0|0.0|0|218.64583333333334|0|6.942708333333333|0
0|2020-01-22|0.0|0|0.0|0|242.5|0|6.739583333333333|0
0|2020-01-23|0.0|0|0.0|0|240.72916666666666|0|6.0|0
0|2020-01-24|0.0|0|0.0|0|205.0|0|4.739583333333333|0
0|2020-01-25|0.0|0|0.0|0|247.08333333333334|0|7.026041666666667|0
0|2020-01-26|0.0|0|0.0|0|220.78125|0|6.6875|0
0|2020-01-27|0.0|0|0.0|0|206.51041666666666|0|5.546875|0
0|2020-01-28|0.0|0|0.0|0|190.3125|0|5.119791666666667|0
0|2020-01-29|0.0|0|0.0|0|163.125|0|4.8125|0
0|2020-01-30|0.0|0|0.0|0|144.6875|0|4.243055555555555|0
0|2020-01-31|0.0|0|0.0|0|225.10416666666666|0|4.682291666666667|0
0|2020-02-01|0.0|0|0.0|0|256.6666666666667|0|6.916666666666667|0
0|2020-02-02|0.0|0|0.0|0|178.85416666666666|0|7.697916666666667|0
0|2020-02-03|0.0|0|0.0|0|282.9166666666667|0|9.302083333333334|0
0|2020-02-04|0.0|0|0.0|0|229.89583333333334|0|7.223958333333333|0
0|2020-02-05|0.0|0|0.0|0|201.09375|0|4.760416666666667|0
0|2020-02-06|0.0|0|0.0|0|198.64583333333334|0|5.734375|0
