|dates|Utah_Utah_UnitedStates.BLS_EmployedPopulation.data|Utah_Utah_UnitedStates.BLS_EmployedPopulation.missing|Utah_Utah_UnitedStates.BLS_UnemployedPopulation.data|Utah_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Utah_Utah_UnitedStates.BLS_UnemploymentRate.data|Utah_Utah_UnitedStates.BLS_UnemploymentRate.missing|Utah_Utah_UnitedStates.BLS_LaborForcePopulation.data|Utah_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-02|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-03|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-04|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-05|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-06|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-07|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-08|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-09|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-10|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-11|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-12|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-13|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-14|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-15|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-16|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-17|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
0|2020-01-18|305269.5|0|7723.0|0|2.4674712652859094|0|312992.5|0
