|dates|Laurens_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Laurens_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Laurens_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Laurens_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Laurens_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Laurens_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Laurens_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Laurens_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-02|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-03|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-04|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-05|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-06|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-07|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-08|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-09|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-10|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-11|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-12|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-13|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-14|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-15|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-16|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-17|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-18|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-19|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-20|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-21|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-22|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-23|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-24|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-25|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-26|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-27|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-28|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-29|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-30|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-01-31|29160.5|0|950.5|0|3.1566537145893525|0|30111.0|0
0|2020-02-01|29335.0|0|976.0|0|3.2199531523209397|0|30311.0|0
0|2020-02-02|29335.0|0|976.0|0|3.2199531523209397|0|30311.0|0
0|2020-02-03|29335.0|0|976.0|0|3.2199531523209397|0|30311.0|0
0|2020-02-04|29335.0|0|976.0|0|3.2199531523209397|0|30311.0|0
0|2020-02-05|29335.0|0|976.0|0|3.2199531523209397|0|30311.0|0
