|dates|Monroe_Indiana_UnitedStates.BLS_EmployedPopulation.data|Monroe_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Monroe_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Monroe_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Monroe_Indiana_UnitedStates.BLS_UnemploymentRate.data|Monroe_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Monroe_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Monroe_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-02|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-03|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-04|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-05|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-06|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-07|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-08|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-09|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-10|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-11|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-12|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-13|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-14|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-15|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-16|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-17|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-18|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-19|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-20|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-21|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-22|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-23|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-24|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
0|2020-01-25|69076.0|0|2460.0|0|3.4388280026839633|0|71536.0|0
