|dates|Coke_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Coke_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Coke_Texas_UnitedStates.Male_Total_Population.data|Coke_Texas_UnitedStates.Male_Total_Population.missing|Coke_Texas_UnitedStates.Female_Total_Population.data|Coke_Texas_UnitedStates.Female_Total_Population.missing|Coke_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Coke_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-02|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-03|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-04|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-05|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-06|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-07|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-08|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-09|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-10|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-11|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-12|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-13|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-14|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-15|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-16|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-17|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-18|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-19|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-20|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-21|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-22|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-23|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-24|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-25|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-26|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-27|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-28|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-29|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-30|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-01-31|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-01|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-02|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-03|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-04|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-05|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-06|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-07|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-08|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-09|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-10|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-11|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-12|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-13|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-14|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-15|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-16|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-17|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-18|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-19|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-20|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-21|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-22|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-23|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-24|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-25|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-26|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-27|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-28|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-02-29|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-01|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-02|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-03|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-04|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-05|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-06|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-07|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-08|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-09|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-10|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-11|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-12|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-13|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-14|919.0|0|1666.0|0|1704.0|0|709.0|0
0|2020-03-15|919.0|0|1666.0|0|1704.0|0|709.0|0
