|dates|Craighead_Arkansas_UnitedStates.BLS_EmployedPopulation.data|Craighead_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|Craighead_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|Craighead_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|Craighead_Arkansas_UnitedStates.BLS_UnemploymentRate.data|Craighead_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|Craighead_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|Craighead_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-02|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-03|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-04|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-05|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-06|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-07|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-08|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-09|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-10|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-11|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-12|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-13|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-14|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-15|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-16|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-17|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-18|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-19|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-20|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-21|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-22|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-23|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
0|2020-01-24|54100.0|0|1835.5|0|3.2814581079993923|0|55935.5|0
