|dates|SanJacinto_Texas_UnitedStates.BLS_EmployedPopulation.data|SanJacinto_Texas_UnitedStates.BLS_EmployedPopulation.missing|SanJacinto_Texas_UnitedStates.BLS_UnemployedPopulation.data|SanJacinto_Texas_UnitedStates.BLS_UnemployedPopulation.missing|SanJacinto_Texas_UnitedStates.BLS_UnemploymentRate.data|SanJacinto_Texas_UnitedStates.BLS_UnemploymentRate.missing|SanJacinto_Texas_UnitedStates.BLS_LaborForcePopulation.data|SanJacinto_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-02|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-03|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-04|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-05|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-06|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-07|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-08|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-09|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-10|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-11|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-12|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-13|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-14|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-15|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-16|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-17|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-18|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-19|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-20|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-21|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-22|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
0|2020-01-23|11247.0|0|599.5|0|5.060566412020428|0|11846.5|0
