|dates|Jefferson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jefferson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jefferson_Kentucky_UnitedStates.Male_Total_Population.data|Jefferson_Kentucky_UnitedStates.Male_Total_Population.missing|Jefferson_Kentucky_UnitedStates.Female_Total_Population.data|Jefferson_Kentucky_UnitedStates.Female_Total_Population.missing|Jefferson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Jefferson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-02|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-03|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-04|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-05|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-06|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-07|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-08|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-09|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-10|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-11|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-12|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-13|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-14|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-15|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-16|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-17|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-18|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-19|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-20|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-21|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-22|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-23|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-24|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-25|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-26|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-27|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-28|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-29|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-30|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-01-31|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-01|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-02|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-03|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-04|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-05|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-06|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-07|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-08|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-09|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-10|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-11|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-12|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-13|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-14|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-15|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-16|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-17|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-18|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-19|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-20|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-21|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-22|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-23|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-24|124503.0|0|372427.0|0|398090.0|0|170791.0|0
0|2020-02-25|124503.0|0|372427.0|0|398090.0|0|170791.0|0
