|dates|Douglas_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Douglas_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Douglas_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Douglas_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Douglas_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Douglas_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Douglas_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Douglas_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-02|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-03|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-04|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-05|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-06|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-07|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-08|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-09|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-10|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-11|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-12|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-13|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-14|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-15|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-16|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-17|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-18|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-19|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
0|2020-01-20|21671.0|0|1219.5|0|5.327537624778838|0|22890.5|0
