|dates|Kewaunee_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Kewaunee_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Kewaunee_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Kewaunee_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Kewaunee_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Kewaunee_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Kewaunee_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Kewaunee_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-02|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-03|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-04|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-05|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-06|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-07|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-08|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-09|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-10|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-11|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-12|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-13|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-14|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-15|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-16|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-17|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-18|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-19|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-20|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-21|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-22|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-23|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-24|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-25|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-26|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-27|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-28|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-29|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-30|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-01-31|10562.5|0|407.0|0|3.710287615661607|0|10969.5|0
0|2020-02-01|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-02|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-03|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-04|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-05|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-06|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-07|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-08|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-09|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-10|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-11|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
0|2020-02-12|10428.0|0|381.5|0|3.5293029279800177|0|10809.5|0
