|dates|Sargent_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Sargent_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Sargent_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Sargent_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Sargent_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Sargent_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Sargent_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Sargent_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-02|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-03|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-04|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-05|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-06|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-07|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-08|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-09|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-10|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-11|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-12|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-13|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-14|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-15|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-16|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-17|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-18|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-19|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-20|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-21|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-22|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-23|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-24|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-25|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-26|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-27|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-28|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-29|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-30|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-01-31|2617.5|0|48.5|0|1.8192048012003001|0|2666.0|0
0|2020-02-01|2613.0|0|43.0|0|1.6189759036144578|0|2656.0|0
