|dates|Grant_Indiana_UnitedStates.AveragePrecipitationTotal.data|Grant_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Grant_Indiana_UnitedStates.AveragePrecipitation.data|Grant_Indiana_UnitedStates.AveragePrecipitation.missing|Grant_Indiana_UnitedStates.AverageWindDirection.data|Grant_Indiana_UnitedStates.AverageWindDirection.missing|Grant_Indiana_UnitedStates.AverageWindSpeed.data|Grant_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|230.0|0|11.3125|0
0|2020-01-02|0.0|0|0.0|0|188.07291666666666|0|10.192708333333334|0
0|2020-01-03|0.00020833333333333335|0|0.00020833333333333335|0|74.27083333333333|0|0.8645833333333334|0
0|2020-01-04|0.0|0|0.0|0|234.16666666666666|0|7.03125|0
0|2020-01-05|0.0|0|0.0|0|243.48958333333334|0|12.572916666666666|0
0|2020-01-06|0.0|0|0.0|0|216.25|0|6.59375|0
0|2020-01-07|0.0|0|0.0|0|147.8125|0|5.645833333333333|0
0|2020-01-08|0.0|0|0.0|0|201.25|0|8.114583333333334|0
0|2020-01-09|0.0|0|0.0040625|0|163.02083333333334|0|13.697916666666666|0
0|2020-01-10|0.011250000000000001|0|0.029999999999999975|0|193.22916666666666|0|11.666666666666666|0
0|2020-01-11|0.011250000000000001|0|0.03177083333333331|0|197.91666666666666|0|11.791666666666666|0
0|2020-01-12|0.022083333333333333|0|0.0010416666666666667|0|155.41666666666666|0|4.822916666666667|0
0|2020-01-13|0.0|0|0.0|0|166.97916666666666|0|5.5|0
0|2020-01-14|0.0|0|0.0|0|156.77083333333334|0|5.572916666666667|0
0|2020-01-15|0.0|0|0.0|0|141.66666666666666|0|6.510416666666667|0
0|2020-01-16|0.0|0|0.0|0|292.8125|0|12.28125|0
0|2020-01-17|0.0|0|0.0003125|0|88.69791666666667|0|8.661458333333334|0
0|2020-01-18|0.004791666666666667|0|0.007708333333333335|0|219.16666666666666|0|19.979166666666668|0
0|2020-01-19|0.000625|0|0.0|0|283.75|0|17.416666666666668|0
0|2020-01-20|0.0|0|0.0|0|125.72916666666667|0|1.703125|0
0|2020-01-21|0.0|0|0.0|0|45.208333333333336|0|0.78125|0
0|2020-01-22|0.0|0|0.0|0|118.75|0|4.520833333333333|0
0|2020-01-23|0.0|0|0.0008333333333333332|0|135.9375|0|5.0625|0
0|2020-01-24|0.0008333333333333334|0|0.0055208333333333325|0|134.89583333333334|0|5.395833333333333|0
0|2020-01-25|0.00375|0|0.0|0|241.40625|0|11.489583333333334|0
0|2020-01-26|0.0|0|0.0|0|225.83333333333334|0|9.072916666666666|0
0|2020-01-27|0.0|0|0.0|0|254.47916666666666|0|4.614583333333333|0
0|2020-01-28|0.0|0|0.0|0|173.22916666666666|0|2.328125|0
0|2020-01-29|0.0|0|0.0|0|21.145833333333332|0|1.1666666666666667|0
0|2020-01-30|0.0|0|0.0|0|22.1875|0|0.9166666666666666|0
0|2020-01-31|0.0|0|0.0|0|4.895833333333333|0|0.125|0
0|2020-02-01|0.0|0|0.0|0|161.97916666666666|0|7.03125|0
0|2020-02-02|0.0|0|0.0|0|248.95833333333334|0|16.536458333333332|0
0|2020-02-03|0.0|0|0.0|0|131.5625|0|5.15625|0
0|2020-02-04|0.0|0|0.003437500000000001|0|105.41666666666667|0|9.677083333333334|0
0|2020-02-05|0.0025|0|0.004270833333333334|0|61.145833333333336|0|11.4375|0
0|2020-02-06|0.0027083333333333334|0|0.0|0|107.8125|0|6.510416666666667|0
0|2020-02-07|0.0|0|0.0|0|289.4791666666667|0|5.802083333333333|0
0|2020-02-08|0.0|0|0.0|0|183.4375|0|3.6458333333333335|0
0|2020-02-09|0.0|0|0.010208333333333337|0|158.33333333333334|0|9.833333333333334|0
0|2020-02-10|0.011041666666666667|0|0.0062499999999999995|0|155.83333333333334|0|2.8229166666666665|0
0|2020-02-11|0.0|0|0.0|0|208.64583333333334|0|5.901041666666667|0
0|2020-02-12|0.0|0|0.005156250000000001|0|75.36458333333333|0|2.9739583333333335|0
0|2020-02-13|0.001875|0|0.0004166666666666667|0|214.58333333333334|0|10.703125|0
0|2020-02-14|0.0|0|0.0|0|115.625|0|2.6354166666666665|0
0|2020-02-15|0.0|0|0.0|0|168.85416666666666|0|8.322916666666666|0
0|2020-02-16|0.0|0|0.0|0|100.72916666666667|0|1.9375|0
0|2020-02-17|0.0|0|0.0034375|0|94.0625|0|6.447916666666667|0
0|2020-02-18|0.003541666666666667|0|0.0016666666666666663|0|271.9791666666667|0|10.1875|0
0|2020-02-19|0.0|0|0.0|0|263.5416666666667|0|4.520833333333333|0
0|2020-02-20|0.0|0|0.0|0|157.70833333333334|0|6.333333333333333|0
0|2020-02-21|0.0|0|0.0|0|155.52083333333334|0|5.4375|0
