|dates|Cloud_Kansas_UnitedStates.BLS_EmployedPopulation.data|Cloud_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Cloud_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Cloud_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Cloud_Kansas_UnitedStates.BLS_UnemploymentRate.data|Cloud_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Cloud_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Cloud_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-02|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-03|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-04|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-05|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-06|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-07|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-08|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-09|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-10|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-11|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-12|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-13|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-14|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-15|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-16|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-17|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-18|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-19|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-20|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-21|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-22|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-23|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-24|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-25|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
0|2020-01-26|3642.5|0|123.5|0|3.279341476367499|0|3766.0|0
