|dates|Perry_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Perry_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Perry_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Perry_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Perry_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Perry_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Perry_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Perry_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-02|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-03|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-04|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-05|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-06|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-07|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-08|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-09|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-10|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-11|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-12|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-13|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-14|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-15|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-16|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-17|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-18|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-19|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-20|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-21|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-22|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-23|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-24|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-25|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-26|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-27|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-28|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-29|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-30|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-01-31|7756.0|0|673.0|0|7.984339779333254|0|8429.0|0
0|2020-02-01|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-02|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-03|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-04|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-05|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-06|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-07|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-08|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-09|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-10|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-11|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-12|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-13|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-14|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-15|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-16|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-17|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-18|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-19|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-20|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
0|2020-02-21|7780.5|0|655.5|0|7.77027027027027|0|8436.0|0
