|dates|JudithBasin_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|JudithBasin_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|JudithBasin_Montana_UnitedStates.Male_Total_Population.data|JudithBasin_Montana_UnitedStates.Male_Total_Population.missing|JudithBasin_Montana_UnitedStates.Female_Total_Population.data|JudithBasin_Montana_UnitedStates.Female_Total_Population.missing|JudithBasin_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|JudithBasin_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-02|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-03|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-04|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-05|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-06|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-07|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-08|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-09|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-10|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-11|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-12|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-13|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-14|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-15|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-16|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-17|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-18|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-19|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-20|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-21|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-22|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-23|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-24|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-25|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-26|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-27|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-28|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-29|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-30|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-01-31|529.0|0|1009.0|0|943.0|0|378.0|0
0|2020-02-01|529.0|0|1009.0|0|943.0|0|378.0|0
