|dates|JeffDavis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|JeffDavis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|JeffDavis_Texas_UnitedStates.Male_Total_Population.data|JeffDavis_Texas_UnitedStates.Male_Total_Population.missing|JeffDavis_Texas_UnitedStates.Female_Total_Population.data|JeffDavis_Texas_UnitedStates.Female_Total_Population.missing|JeffDavis_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|JeffDavis_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-02|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-03|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-04|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-05|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-06|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-07|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-08|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-09|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-10|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-11|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-12|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-13|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-14|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-15|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-16|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-17|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-18|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-19|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-20|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-21|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-22|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-23|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-24|785.0|0|1154.0|0|1098.0|0|174.0|0
0|2020-01-25|785.0|0|1154.0|0|1098.0|0|174.0|0
