|dates|Faribault_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Faribault_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Faribault_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Faribault_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Faribault_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Faribault_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Faribault_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Faribault_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-02|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-03|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-04|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-05|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-06|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-07|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-08|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-09|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-10|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-11|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-12|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-13|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-14|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-15|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-16|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-17|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-18|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-19|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-20|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-21|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-22|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-23|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-24|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-25|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-26|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-27|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-28|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-29|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-30|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-01-31|6434.5|0|404.0|0|5.907728302990422|0|6838.5|0
0|2020-02-01|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
0|2020-02-02|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
0|2020-02-03|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
0|2020-02-04|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
0|2020-02-05|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
0|2020-02-06|6457.5|0|366.5|0|5.370750293083236|0|6824.0|0
