|dates|Perry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Perry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Perry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Perry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Perry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Perry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Perry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Perry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-02|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-03|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-04|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-05|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-06|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-07|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-08|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-09|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-10|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-11|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-12|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-13|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-14|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-15|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-16|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-17|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
0|2020-01-18|8916.0|0|330.5|0|3.5743254204293518|0|9246.5|0
