|dates|Refugio_Texas_UnitedStates.BLS_EmployedPopulation.data|Refugio_Texas_UnitedStates.BLS_EmployedPopulation.missing|Refugio_Texas_UnitedStates.BLS_UnemployedPopulation.data|Refugio_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Refugio_Texas_UnitedStates.BLS_UnemploymentRate.data|Refugio_Texas_UnitedStates.BLS_UnemploymentRate.missing|Refugio_Texas_UnitedStates.BLS_LaborForcePopulation.data|Refugio_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-02|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-03|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-04|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-05|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-06|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-07|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-08|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-09|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-10|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-11|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-12|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-13|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-14|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-15|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-16|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-17|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-18|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
0|2020-01-19|3010.5|0|126.5|0|4.032515141855276|0|3137.0|0
