|dates|Washburn_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Washburn_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Washburn_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Washburn_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Washburn_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Washburn_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Washburn_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Washburn_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-02|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-03|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-04|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-05|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-06|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-07|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-08|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-09|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-10|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-11|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-12|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-13|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-14|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-15|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-16|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-17|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-18|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-19|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-20|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-21|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-22|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-23|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-24|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-25|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-26|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-27|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-28|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-29|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-30|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-01-31|7302.5|0|443.0|0|5.7194500032276805|0|7745.5|0
0|2020-02-01|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
0|2020-02-02|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
0|2020-02-03|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
0|2020-02-04|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
0|2020-02-05|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
0|2020-02-06|7203.5|0|417.0|0|5.472081884390788|0|7620.5|0
